date,time,language,links
20081101,140000,fr,12
20081117,140000,tr,1
20081104,160000,en,222
20081026,150000,id,1
20081202,150000,commons.m,1
20081023,120001,nl,8
20081229,90000,ro,2
20081022,220000,nl,2
20081205,70000,pt,1
20081023,160000,id,5
20081229,140001,de,35
20081228,70000,ro,1
20081129,190001,de,13
20081031,70000,de,14
20081116,50001,es,2
20081224,220000,fr,10
20081114,90000,no,1
20081102,90000,commons.m,2
20081019,140001,id,3
20081117,140000,id,1
20081222,10001,es,2
20081114,30000,es,4
20081117,120000,id,2
20081116,120000,pl,3
20081115,130000,de,24
20081003,130000,hu,1
20081201,210000,de,22
20081109,180000,en.n,2
20081009,190000,ja,1
20081214,190000,commons.m,2
20081023,90000,en,225
20081012,90000,en.n,2
20081104,130000,de,31
20081130,210000,sv,1
20081121,230000,commons.m,3
20081229,20001,nl,1
20081110,50001,es,13
20081210,130000,es,1
20081112,180001,de,36
20081005,230000,de,60
20081017,120000,fr,26
20081020,110000,id,4
20081025,60001,es,5
20081215,40000,en.n,1
20081020,180000,id,3
20081029,1,de,32
20081104,140000,de,57
20081121,70000,ja,2
20081126,10000,fr,3
20081128,230000,fr,6
20081231,180000,ru,5
20081210,150000,en,132
20081204,140001,it,6
20081214,160000,it,3
20081124,50000,fr,4
20081028,150000,de.n,1
20081105,100000,it,8
20081018,60000,en,140
20081119,150000,nl,5
20081121,230000,it,4
20081130,50000,en,83
20081030,60001,el,1
20081107,190000,ru,1
20081213,40000,en,83
20081128,80000,vi,1
20081205,90000,it,8
20081011,110000,en,263
20081018,110000,es,1
20081110,10000,commons.m,2
20081005,160001,de,60
20081009,40000,es,28
20081003,100000,ja,1
20081108,50000,pt.n,1
20081203,20001,en,142
20081020,40000,de,8
20081031,190000,en.n,1
20081203,40000,vi,1
20081114,140000,nl,5
20081006,170000,pl,2
20081020,110000,pl,1
20081106,40000,de.n,1
20081207,100000,de,12
20081030,150000,fi,2
20081006,90000,no,3
20081029,60001,fr,1
20081024,110000,commons.m,2
20081229,10000,en,67
20081215,150000,de,65
20081204,20001,es,3
20081027,120001,de,125
20081009,100000,ru,5
20081013,130001,da,1
20081009,210000,tr,3
20081204,20001,fr,3
20081222,30000,en.n,3
20081127,80000,pl,1
20081021,80000,en,190
20081101,190000,tr,6
20081028,170000,fr,25
20081210,40000,es,1
20081030,180001,fr.n,2
20081015,10000,id,4
20081203,30000,id,1
20081201,20000,en,114
20081226,40000,it,1
20081007,210001,en,748
20081021,70000,en,188
20081126,220000,es,1
20081123,160000,de,33
20081014,30000,fr,2
20081130,220000,es.n,4
20081008,170000,pt,2
20081127,150000,tr,3
20081124,40000,ru,2
20081217,70000,tr,1
20081005,130000,pl,5
20081117,100000,sv,1
20081007,200000,de,144
20081201,160000,fr.n,1
20081210,220000,en.n,2
20081009,30000,id,15
20081220,50000,lt,1
20081022,200000,hu,1
20081012,120000,cs,1
20081226,140001,commons.m,1
20081121,50001,en,176
20081112,200000,de.n,2
20081101,120001,de,40
20081222,160000,en.n,1
20081230,130000,tr,3
20081107,210000,en.n,1
20081019,90000,it,8
20081211,0,en,105
20081215,220000,es.n,3
20081114,210000,es,3
20081204,190000,tr,1
20081030,1,vi,1
20081219,90000,sv,1
20081130,80000,en,65
20081213,160000,de,30
20081017,90000,vi,2
20081231,10000,ja,1
20081110,210000,vi,1
20081118,210000,de,39
20081016,190000,fr,27
20081025,60001,pl,1
20081223,190001,de,26
20081031,210000,hu,2
20081223,170000,en.n,1
20081108,210000,en,119
20081205,60000,pt,1
20081221,90000,fr,6
20081118,200000,sv,1
20081123,180001,es,2
20081110,140000,no,1
20081227,150000,it,4
20081230,190000,de,23
20081222,40000,en,83
20081117,60000,pt.n,1
20081007,10000,fr,12
20081212,100000,fr,30
20081129,120000,hu,1
20081111,80000,nl,5
20081116,190000,fr,19
20081210,50001,sv,1
20081127,10000,nl,1
20081112,120001,fi,1
20081007,70000,pt,2
20081117,180000,en.n,2
20081129,120000,en.n,1
20081010,130001,it,70
20081230,60000,id,1
20081017,120000,en.n,1
20081122,180001,pl,1
20081001,160000,da,3
20081119,0,id,1
20081205,140001,tr,3
20081023,70000,it,4
20081215,50000,nl,2
20081016,140000,es,4
20081010,80000,en.n,2
20081219,100000,es,1
20081204,70000,commons.m,1
20081213,100000,de,19
20081124,1,en,147
20081127,210000,pt,2
20081107,170000,nl,2
20081119,120000,it,5
20081009,220000,fi,1
20081201,210000,commons.m,4
20081221,200000,pt,1
20081026,220000,de,33
20081018,210000,nl,3
20081206,170000,fr,13
20081101,90000,de,9
20081124,60001,tr,1
20081224,130001,en.n,2
20081128,0,fr,6
20081216,200000,fr,11
20081011,220000,de,66
20081110,220000,www,1
20081024,190000,id,1
20081024,80000,ru,6
20081018,0,fr,5
20081203,80001,ru,3
20081216,220000,sv,4
20081013,150000,da,1
20081003,30000,commons.m,2
20081028,130000,ru,5
20081104,40000,id,4
20081224,30000,ru,2
20081104,20000,es,4
20081220,20000,en,99
20081229,140001,en,105
20081117,50001,en,166
20081028,140000,nl,3
20081230,120000,en,114
20081009,150000,es.n,1
20081023,100000,gn,1
20081209,120000,fi,3
20081025,1,nl,1
20081128,220000,fr,10
20081228,210000,en,87
20081025,180001,it,10
20081003,210000,nl,2
20081214,30000,en,72
20081220,230000,it,5
20081103,200000,de.n,1
20081108,160000,id,2
20081124,200000,de,36
20081211,160000,it,12
20081008,100000,es,2
20081009,230000,pl,7
20081106,160000,fr,17
20081211,190000,fr.n,2
20081004,20000,vi,1
20081117,200000,vi,1
20081002,80000,commons.m,6
20081222,200000,en.n,1
20081016,160001,pl,1
20081008,110000,en.n,4
20081206,40000,en,97
20081125,90000,en,155
20081129,40000,tr,1
20081119,40000,ru,2
20081008,210001,fr,64
20081207,90001,de,9
20081126,80000,vi,1
20081018,130000,tr,3
20081115,40000,de,3
20081205,180000,ru,3
20081014,190000,ja,1
20081221,200000,it,3
20081121,190000,de,40
20081230,40000,ru,2
20081018,120000,de.n,1
20081230,130000,en,113
20081020,110000,commons.m,1
20081118,120001,commons.m,2
20081029,190000,nl,2
20081016,150000,tr,4
20081218,30000,es,2
20081007,110000,hu,1
20081118,130000,tr,2
20081010,140000,en.n,1
20081203,170000,fr.n,1
20081202,210000,nl,2
20081023,220000,de,66
20081211,70000,commons.m,1
20081008,110000,zh,1
20081207,0,en,90
20081125,130000,sv,4
20081013,220000,nl,2
20081119,220000,ru,5
20081013,210000,fr,41
20081215,130000,en.n,4
20081229,120000,pl,2
20081213,180001,fi,3
20081029,150000,nl,7
20081113,210000,de,19
20081216,110000,ja,3
20081026,200000,pt,4
20081125,110000,ar,1
20081001,70000,en.n,7
20081202,210000,ru,4
20081119,180000,de,32
20081006,10000,no,1
20081211,230001,es,1
20081128,20000,en,88
20081116,20000,de,5
20081201,0,ru,2
20081113,140000,pt,1
20081031,10000,commons.m,1
20081116,10000,en,90
20081029,200000,es,6
20081227,170000,en,124
20081103,100000,ko,1
20081211,210000,fr,10
20081224,60000,commons.m,6
20081108,70000,commons.m,2
20081130,170000,it,2
20081011,190001,ja,1
20081111,170000,ja,1
20081217,60001,en,113
20081005,10000,es,7
20081217,30000,commons.m,1
20081128,110000,commons.m,1
20081115,150000,hu,2
20081008,160000,no,1
20081009,230000,it,36
20081228,130000,ja,1
20081115,210000,en.n,1
20081122,70000,de,9
20081126,220000,de,43
20081017,80000,ja,1
20081013,110000,hu,3
20081027,1,de.n,2
20081020,120000,sv,1
20081122,1,de,9
20081119,80000,da,1
20081231,150001,ro,1
20081205,70000,en,108
20081001,80000,en.n,7
20081010,190001,fr,40
20081224,80000,id,1
20081222,130001,tr,1
20081116,110001,it,7
20081224,210000,fr,3
20081207,100000,es,1
20081109,100000,tr,2
20081229,0,de,9
20081011,170000,id,2
20081006,10000,cs,1
20081008,220000,it,19
20081002,200000,fi,2
20081221,170000,de,42
20081128,210000,en.n,1
20081002,40000,ro,2
20081130,140000,tr,5
20081027,90000,ja,1
20081218,180000,ru,5
20081030,120001,pl,2
20081215,230000,commons.m,2
20081208,160001,pl,1
20081128,60000,hu,1
20081101,10000,tr,1
20081020,70001,tr,1
20081104,60001,id,1
20081225,140000,no,1
20081117,110001,commons.m,2
20081121,30000,ja,2
20081120,130000,tr,3
20081208,70000,commons.m,2
20081013,200000,tr,4
20081220,80000,fr,3
20081121,120000,commons.m,1
20081025,90000,en.n,1
20081029,160000,it,23
20081113,130000,id,1
20081206,40000,es,3
20081103,180001,sv,5
20081014,210000,fr.n,1
20081212,150000,pl,1
20081011,40000,commons.m,1
20081028,50000,pt,1
20081123,70000,vi,1
20081130,200000,fr,21
20081210,160000,ru,5
20081216,30000,en,108
20081016,220001,fr,46
20081106,90000,tr,3
20081225,210000,de,11
20081219,140000,fi,1
20081115,180000,nl,1
20081027,220000,tr,2
20081105,120000,fr,12
20081106,180000,fr,22
20081122,90000,tr,3
20081106,190000,en.n,1
20081223,140000,pl,2
20081005,210000,pl,11
20081001,30000,ru,1
20081014,90000,hu,1
20081114,150000,commons.m,4
20081020,50000,pl,1
20081020,230000,es,7
20081216,140000,sv,2
20081005,80000,vi,2
20081120,140000,tr,2
20081101,70000,fr,1
20081010,150000,pl,8
20081019,170000,ja,1
20081031,60001,it,1
20081118,190000,ru,4
20081022,210000,de.n,2
20081018,180000,fi,1
20081123,150000,sv,3
20081224,150000,en.n,1
20081221,190001,tr,1
20081019,140001,commons,2
20081014,190000,it,21
20081117,70000,ja,5
20081013,110000,cs,2
20081228,160000,commons.m,2
20081002,130000,pl,1
20081228,90000,vi,1
20081127,150000,commons.m,8
20081124,70000,de.n,1
20081128,0,en.n,5
20081003,150000,es,5
20081121,50001,pl,1
20081005,180000,pl,6
20081020,200000,fr,23
20081011,200000,de.n,1
20081121,70000,fr,4
20081101,210000,fr.n,1
20081012,200000,pl,12
20081029,30000,es,19
20081104,70000,ja,2
20081124,200000,fi,5
20081013,140000,pt,2
20081212,220000,pl,2
20081013,150000,nl,9
20081110,60000,id,2
20081107,170000,it,18
20081207,10000,de,8
20081115,70000,en,92
20081122,200000,de.n,2
20081012,40000,fr,4
20081208,230000,sv,1
20081220,70001,en,75
20081106,70000,ro,1
20081116,30000,pl,1
20081231,180000,de,21
20081012,170000,tr,4
20081208,150000,it,8
20081030,70000,ro,1
20081015,210000,en,387
20081104,10000,en,143
20081008,50000,es,3
20081105,160000,hu,2
20081012,80000,en,269
20081206,0,no,1
20081112,170000,es,5
20081104,80000,sv,1
20081006,170000,zh,1
20081114,130000,fr.n,1
20081105,200000,es.n,1
20081006,150000,de.n,3
20081224,190001,de,19
20081229,150000,id,1
20081031,100000,pl,13
20081104,190000,fr.n,1
20081015,200000,de,70
20081003,60000,pt,1
20081012,120000,de,70
20081122,220000,fr,12
20081129,120000,en,66
20081028,140000,hu,1
20081025,100000,it,12
20081119,190000,en.n,1
20081125,150000,it.n,2
20081111,170000,es,7
20081020,130001,en,287
20081005,170000,no,2
20081201,150000,de,58
20081203,0,fr,7
20081022,210000,nl,3
20081031,220000,ru,1
20081003,80000,cs,2
20081031,40000,vi,4
20081224,230000,it,2
20081112,10000,fr,3
20081004,90000,es,3
20081220,130001,pl,2
20081010,150000,en.n,3
20081222,130001,pt,3
20081002,160000,id,4
20081009,90000,ru,7
20081116,180000,fr,14
20081220,180000,tr,2
20081016,70000,pt,1
20081019,210000,sv,1
20081219,120000,pl,6
20081216,160000,de,57
20081216,20000,id,4
20081102,80000,fi,1
20081013,60000,en.n,1
20081225,200000,ja,1
20081219,0,es.n,1
20081123,220000,de,37
20081102,80000,en,79
20081112,120001,fr.n,1
20081014,90000,it,14
20081214,100000,es.n,5
20081030,150000,nl,2
20081125,210000,pl,1
20081228,60000,nl,1
20081224,190001,es,4
20081121,190000,fr,5
20081118,220000,de,21
20081122,80000,en.n,1
20081103,40000,fr,3
20081219,210000,it,5
20081214,80000,fr,2
20081124,160000,en.n,1
20081212,110000,hu,1
20081008,110000,de,137
20081208,130000,lt,1
20081215,100000,es.n,1
20081017,200000,en,283
20081023,90000,fr.n,3
20081212,210000,fi,1
20081202,60000,de,5
20081023,70000,commons.m,5
20081125,60001,fr.n,1
20081115,150000,id,1
20081006,220001,pl,1
20081129,0,it,1
20081114,70000,en,107
20081013,220000,ru,2
20081024,70000,nl,2
20081028,80000,cs,1
20081214,50000,id,3
20081118,200000,tr,4
20081212,0,es,2
20081214,130000,es,3
20081031,180001,en,208
20081113,180001,nl,3
20081001,80000,es,3
20081010,220000,fr,48
20081010,50000,ro,3
20081206,80000,en,49
20081204,90000,no,1
20081221,140000,tr,1
20081004,30000,es.n,1
20081107,70000,it,4
20081006,100001,es.n,1
20081113,90000,it,6
20081014,160000,en.n,6
20081024,200000,hu,1
20081110,190000,en,270
20081228,110000,ru,1
20081209,180000,nl,1
20081017,130000,fr,26
20081118,50001,da,1
20081010,80000,ru,8
20081123,80000,en,95
20081113,90000,en,119
20081005,190000,cs,2
20081221,200000,pl,1
20081226,180000,id,1
20081010,180000,tr,5
20081223,0,fr,4
20081108,230001,it,2
20081110,70000,es,1
20081119,110001,ja,1
20081202,30000,en.n,2
20081224,160000,commons.m,2
20081220,20000,de.n,2
20081227,180000,de,25
20081001,200000,ru,5
20081027,200000,it,12
20081213,120001,es,2
20081209,140000,es,6
20081204,190000,es,4
20081210,140000,sv,1
20081202,140000,no,1
20081210,60000,ja,1
20081206,90001,vi,2
20081127,90000,id,22
20081202,130001,es,3
20081010,130001,nl,4
20081218,200000,pl,1
20081211,170001,vi,1
20081124,40000,en,157
20081127,160000,hu,1
20081020,120000,vi,1
20081005,40001,en.n,1
20081015,90000,id,11
20081029,100000,es,2
20081016,210000,id,1
20081007,90000,pl,1
20081221,210000,de,51
20081212,110000,fi,1
20081123,80000,fi,2
20081023,230000,it,11
20081207,100000,fr,6
20081226,190000,it,17
20081121,10000,pt,1
20081119,60001,es,2
20081205,180000,fi,1
20081215,120001,fr.n,2
20081013,80000,id,23
20081123,100000,it,7
20081103,110000,ro,2
20081209,230001,de,27
20081121,100000,es,1
20081108,230001,de,107
20081229,110000,ro,1
20081012,0,ru,2
20081215,90000,fr,2
20081030,70000,en.n,3
20081119,130000,ro,1
20081114,210000,pt,1
20081124,110000,it,11
20081008,60000,no,1
20081018,200001,tr,3
20081217,10000,ru,3
20081029,220000,de.n,4
20081119,230000,es,7
20081228,160000,nl,2
20081223,90000,id,2
20081030,60001,es,1
20081110,160000,id,5
20081003,0,es,23
20081028,170000,it,26
20081023,30000,en.n,1
20081003,210000,pt,2
20081126,10000,cs,2
20081221,180000,pt,1
20081028,160000,es,7
20081106,190000,de,31
20081003,170000,de,62
20081106,180000,it,13
20081210,100000,it,5
20081218,70000,ja,2
20081025,90000,ro,2
20081017,40001,en.n,2
20081208,0,fi,1
20081221,40000,fr,4
20081208,210000,hu,1
20081009,80001,ru,4
20081216,30000,es.n,1
20081105,200000,es,1
20081015,110001,hu,2
20081031,60001,nl,1
20081223,100000,de,23
20081017,170000,vi,1
20081005,150000,fi,1
20081104,180001,de,40
20081118,70000,es,4
20081118,180000,pl,2
20081231,40000,ru,2
20081030,70000,sv,1
20081216,200000,pl,2
20081005,160001,da,1
20081112,70000,pl,1
20081003,130000,tr,5
20081016,130000,fr,45
20081103,210000,pl,3
20081231,200000,ro,2
20081108,70000,es,1
20081225,100000,commons.m,1
20081227,110000,es,2
20081011,120000,en.n,1
20081129,0,ko,1
20081215,100000,ar,2
20081127,180001,pt,5
20081009,170000,el,2
20081218,100000,pl,1
20081215,90000,ja,1
20081007,160000,en,751
20081209,120000,pl,3
20081119,60001,id,1
20081112,230000,nl,2
20081130,220000,ru,1
20081218,120000,no,3
20081221,230000,ru,3
20081125,20000,id,2
20081214,70000,it,1
20081202,230000,ru,9
20081006,110000,sv,2
20081122,20000,en.n,3
20081007,80000,ro,1
20081215,150000,nl,5
20081121,160000,fr,19
20081022,200000,pt.n,1
20081219,110000,tr,1
20081205,10000,fr,3
20081007,80000,ru,8
20081207,30001,ru,1
20081029,170000,ru,9
20081010,180000,it,46
20081008,60000,zh,2
20081229,160000,fi,1
20081211,180000,pt,1
20081124,90000,es.n,1
20081010,30000,en,480
20081009,180000,fr,33
20081202,140000,hu,1
20081230,170000,tr,1
20081225,130001,tr,5
20081004,220001,ar,1
20081222,210000,ru,5
20081025,1,de,13
20081128,180000,fi,1
20081023,70000,en,222
20081015,1,en.n,4
20081211,60000,ja,3
20081204,140001,ar,1
20081029,220000,pl,3
20081206,120000,es,2
20081028,220000,nl,3
20081208,180000,de,30
20081211,140000,de,51
20081018,90001,es.n,1
20081013,10001,fa,1
20081111,130000,ro,1
20081102,30000,fr.n,1
20081103,140000,en,175
20081210,10000,fr,3
20081028,80000,it.n,3
20081201,230000,de.n,1
20081022,150000,nl,5
20081104,140000,es,6
20081102,140000,hu,1
20081101,190000,da,1
20081026,220000,fr,13
20081215,80000,es,3
20081217,110000,de,40
20081010,120000,no,1
20081224,230000,en,89
20081120,90000,sv,2
20081205,10000,ru,1
20081105,110001,tr,4
20081102,140000,pl,1
20081001,100000,pl,2
20081212,120001,de.n,1
20081016,100001,cs,1
20081009,210000,nl,8
20081103,190000,vi,1
20081020,140000,it.n,2
20081207,220001,tr,2
20081124,170000,ja,1
20081203,0,es,1
20081012,40000,es.n,2
20081219,120000,de.n,1
20081107,30000,en,123
20081015,210000,es.n,1
20081207,120000,ja,1
20081119,210000,en,161
20081205,70000,ru,3
20081218,190001,en,134
20081228,50000,ru,1
20081016,200000,tr,2
20081227,180000,no,1
20081023,90000,de.n,1
20081113,10000,pl,1
20081104,1,fr,15
20081103,180001,pl,1
20081010,70001,es,3
20081216,100000,ro,1
20081224,100000,ja.n,1
20081107,40000,commons.m,1
20081003,110001,fi,2
20081012,70001,id,8
20081203,110000,es,2
20081010,130001,en,424
20081211,20000,hu,4
20081204,130000,ja,3
20081012,110000,pt,1
20081219,80000,id,2
20081107,100000,id,4
20081209,70000,pt,1
20081018,30001,vi,1
20081016,180000,pl,1
20081004,110000,vi,4
20081107,180001,id,1
20081007,230000,fr,38
20081008,130000,hu,1
20081009,110000,en.n,8
20081128,80000,de,18
20081118,80000,sv,3
20081214,230000,fr,9
20081006,10000,pt,3
20081004,180000,it,18
20081104,40000,en.n,2
20081223,200000,cs,1
20081217,100000,it,11
20081110,110001,ja,1
20081018,160000,de,57
20081009,200001,nl,6
20081005,110000,ro,4
20081005,190000,es,14
20081017,90000,ro,1
20081006,180000,cs,2
20081203,140000,id,1
20081113,200000,nl,3
20081123,130000,de,25
20081023,100000,en.n,2
20081120,90000,id,3
20081114,1,en.n,5
20081023,210000,de,114
20081119,170001,pt.n,1
20081031,80000,en,162
20081014,230000,commons.m,8
20081125,160000,commons.m,6
20081214,130000,da,2
20081111,160000,es.n,1
20081009,190000,pl,5
20081128,20000,it,2
20081225,210000,ja,1
20081024,190000,ja,1
20081118,40000,vi,1
20081209,90000,de,21
20081229,190000,en,187
20081101,100000,nl,2
20081008,40000,en.n,2
20081112,100000,commons.m,2
20081210,130000,it,9
20081225,140000,ja,2
20081018,190000,ja,1
20081116,100000,es,3
20081110,0,de.n,1
20081001,0,en.n,2
20081120,30000,ja,1
20081224,120000,sv,1
20081018,40000,zh,1
20081005,200000,id,4
20081013,150000,ru,5
20081127,220000,it,6
20081002,210000,it,24
20081228,150000,it,10
20081129,180000,fr,6
20081010,160000,de,116
20081120,30000,commons,1
20081224,170000,commons.m,4
20081104,190000,sv,4
20081113,60001,fi,1
20081116,70000,ru,2
20081206,40000,commons.m,1
20081014,100000,fr.n,2
20081213,80000,es,1
20081217,120001,fi,1
20081025,70000,fr.n,2
20081201,150000,en,162
20081107,40000,es,2
20081003,100000,it.n,1
20081125,140000,en.n,1
20081122,10000,pt.n,1
20081222,20000,en,105
20081106,220000,en,161
20081104,110000,sv,1
20081220,140000,hu,1
20081226,160000,it,8
20081029,180001,commons.m,1
20081228,200001,nl,3
20081210,230001,es,6
20081116,20000,en,107
20081128,80000,fr,6
20081103,100000,tr,1
20081004,180000,pl,11
20081024,20000,es.n,1
20081214,180001,fi,1
20081204,120000,en,94
20081221,190001,es,4
20081019,160000,nl,5
20081005,200000,hu,1
20081029,200000,nl,9
20081124,10000,vi,2
20081124,220000,tr,1
20081227,50000,ru,1
20081220,170000,en,100
20081210,10000,it,5
20081210,90000,tr,1
20081207,180000,fr.n,1
20081027,40000,it,2
20081118,40000,fr,1
20081109,120000,es,8
20081008,110000,sv,2
20081004,160001,es,7
20081020,70001,fi,1
20081214,170000,es,5
20081013,60000,fr,10
20081116,100000,ar,1
20081209,210000,nl,7
20081107,180001,fi,1
20081219,80000,fr,14
20081014,60001,en.n,4
20081119,180000,id,2
20081026,210000,de.n,1
20081121,180000,tr,3
20081008,180000,commons.m,1
20081216,40000,de,3
20081010,30000,it,3
20081115,30000,fr,5
20081231,110000,pt,2
20081130,200000,en,141
20081111,190000,commons.m,3
20081207,180000,fr,10
20081116,180000,fi,3
20081007,120000,it,37
20081101,90000,es,1
20081114,220000,nl,2
20081009,150000,en.n,7
20081230,170000,en,179
20081003,180000,de,48
20081019,0,commons.m,2
20081011,110000,ro,1
20081203,100000,fr,16
20081025,70000,en.n,2
20081130,130001,cs,2
20081019,20001,fr,5
20081007,160000,ro,3
20081009,30000,ko,1
20081209,180000,fr.n,1
20081025,180001,vi,1
20081216,160000,ja,1
20081001,180000,es.n,5
20081010,90000,pt,1
20081106,110001,it,11
20081004,30000,en.n,5
20081130,130001,de,16
20081201,140001,fi,1
20081204,220000,es,3
20081127,130000,pt.n,1
20081008,160000,pl,6
20081207,90001,lt,1
20081013,210000,ja,2
20081111,100000,no,1
20081028,10000,id,1
20081009,60000,fr,7
20081123,40000,de,3
20081010,160000,ko,2
20081212,100000,pl,2
20081012,0,ro,2
20081220,220000,it,5
20081011,120000,commons.m,3
20081101,220000,pl,1
20081007,120000,ru,8
20081218,210000,ro,1
20081217,150000,nl,4
20081030,180001,ar,1
20081108,1,nl,1
20081214,160000,en,134
20081026,100000,it,9
20081207,10000,id,1
20081201,230000,en,181
20081227,70000,fi,1
20081008,190000,fi,2
20081202,60000,en,169
20081121,110001,nl,2
20081005,170000,sv,5
20081113,160000,tr,3
20081019,160000,id,4
20081129,140000,no,1
20081030,90000,es,4
20081104,100000,nl,2
20081226,100000,nl,3
20081231,190000,commons.m,2
20081028,30000,es.n,1
20081207,220001,it,6
20081126,110000,pt.n,1
20081012,50000,vi,3
20081120,70000,de.n,1
20081111,220000,es,3
20081023,170000,pt,2
20081226,130000,ru,3
20081015,150000,nl,6
